コメント,点数,カテゴリ
"MLOpsの概念的な話に終始し、具体的な実装例やコードレベルでの解説がほとんどなかったため、実務にどう活かせば良いのか全くイメージが湧かなかった。",1,講義内容
"Human-in-the-loopの説明が抽象的すぎて、結局何をすれば良いのか分からなかった。アノテーターの管理や品質評価の具体的な手法を学ぶことを期待していたので、肩透かしを食らった気分だ。",1,講義内容
"CI/CD for MLのセクションで紹介されたパイプラインが単純すぎて、現実の複雑なプロジェクトでは全く参考にならないと感じた。基本的なCI/CDとの差分をもっと明確に説明してほしかった。",1,講義内容
"講義資料のスライドに誤字脱字が非常に多く、内容を理解する上でノイズになった。品質管理ができていないと感じ、残念だった。",1,講義資料
"講師の声が小さく、オンラインでの受講だったためほとんど聞き取れなかった。マイクのテストなど、基本的な配信環境の確認を徹底してほしかった。",1,運営
"質疑応答の時間が全く設けられておらず、疑問点を解消することができなかった。一方的な情報伝達で、双方向性が皆無だった。",1,運営
"前提知識として要求されるレベルが明記されておらず、参加してみたら内容が高度すぎて全くついていけなかった。ミスマッチがひどい。",1,その他
"Data-centric MLの重要性は分かったが、結局「良いデータを集めましょう」という精神論に聞こえた。質の悪いデータからどうやって価値を見出すか、といった実践的な話が聞きたかった。",1,講義内容
"MLのモニタリングで紹介されたツールが高価な商用サービスばかりで、OSSで実現する方法についての言及がほとんどなかった。多くの参加者にとって非現実的な内容だったのではないか。",1,講義内容
"演習用の環境構築手順書に不備があり、多くの受講者が環境構築で詰まっていた。サポートも追いついておらず、演習時間の半分以上を無駄にした。",1,運営
"講義資料が単なる文字の羅列で、図やイラストがほとんどなかった。特にMLOpsのアーキテクチャのような複雑な概念は、ビジュアルでの説明が不可欠だと感じた。",1,講義資料
"Human-in-the-loopのパートで、倫理的な側面やアノテーターの労働環境への配慮についての言及が一切なかった。技術的な側面に偏りすぎている。",1,講義内容
"講義の進行が非常に遅く、予定されていた内容の半分も終わらなかった。時間配分に大きな問題がある。",1,運営
"受講料に対して内容が見合っていない。このレベルであれば、オンラインの無料コンテンツで十分に学習できると感じた。",1,その他
"CI/CDパイプラインのセキュリティに関するトピックが完全に欠落していた。モデルやデータに対する脅威について触れないのは、実運用を考えるとあり得ない。",1,講義内容
"配布されたサンプルコードが古く、ライブラリの依存関係が壊れていて動かなかった。メンテナンスされていない資料を提供する姿勢を疑う。",1,講義資料
"休憩時間がほとんどなく、長時間の講義に集中力を維持するのが困難だった。受講者の疲労を全く考慮していない進行だった。",1,運営
"講義のゴールが不明確で、全体を通して何を学ばせるためのものなのかが伝わってこなかった。",1,その他
