コメント,点数,カテゴリ
"Gitのコマンドをただ暗記させるだけで、チーム開発におけるブランチ戦略やコンフリクト解消といった、本当に知りたい内容の解説が皆無だった。",1,講義内容
"PMBOKの知識エリアを順番に説明されただけで、退屈だった。これを現代のソフトウェア開発でどう活かすのか、という視点が全くなかった。",1,講義内容
"コラボレーションの重要性を説く時間が長かったが、その内容は精神論ばかり。心理的安全性を高めるための具体的なアクションプランが何一つ提示されなかった。",1,講義内容
"プロダクトマネジメント手法の紹介が、アジャイル対ウォーターフォールという古い対立軸で語られており、時代錯誤だと感じた。",1,講義内容
"講義資料のスライドに書かれているgitコマンドのサンプルに誤りがあり、実行してもエラーになる。資料の校正を全くしていないのではないか。",1,講義資料
"PMBOKのプロセス群の相関図が、あまりに複雑で文字も小さく、資料として全く機能していなかった。配布する意味がない。",1,講義資料
"講師の声が小さく、オンライン受講では聞き取れない部分が多かった。基本的な配信環境を見直してほしい。",1,運営
"質疑応答の時間が設けられておらず、講師が一方的に話し続けるだけだった。受講者の存在を無視している。",1,運営
"前提知識として『Gitの基本操作』とあったが、実際はかなり高度な内容で、全くついていけなかった。レベル設定がおかしい。",1,その他
"受講料が高すぎる。この内容であれば、オンラインの無料動画や記事で十分に学べるレベルだと感じた。",1,その他
"GitHubの解説が、個人リポジトリでのファイル管理レベルに終始していた。チーム開発におけるプルリクエストのレビュー文化やブランチ保護ルールといった、コラボレーションの核心に触れてほしかった。",1,講義内容
"スクラム開発の説明で、各ロール（PO, SM, 開発者）の役割を説明するだけで、それぞれの立場での悩みや、アンチパターンについての言及がなかった。",1,講義内容
"講義資料が、講師の口頭説明がないと理解できない箇条書きばかりだった。後から見返しても、何のことか思い出せない。",1,講義資料
"ハンズオンの時間が、トラブル対応に追われてほとんど潰れてしまった。演習環境の事前チェックが甘い。",1,運営
"エンジニア向けの内容なのか、マネージャー向けの内容なのか、ターゲットが不明確で、どちらにとっても中途半端だった。",1,その他
"コラボレーションの話で、リモートワークとオフィスワークでのコミュニケーションの違いについて、全く触れられなかった。現代の働き方に即していない。",1,講義内容
"PMBOKの話が長すぎて、講義の半分以上を占めていた。もっとアジャイルな手法に時間を割いてほしかった。",2,講義内容
"Gitの`rebase`や`cherry-pick`といった応用的なコマンドの説明が早口で、理解が追いつかなかった。",2,講義内容
"プロダクトマネジメント手法としてカンバンの説明があったが、WIP制限の重要性など、キモとなる部分の解説が薄かった。",2,講義内容
"講義資料のスクリーンショットが古く、現在のGitHubのUIと異なっていたため、混乱した。",2,講義資料
"講師の話し方に抑揚がなく、眠気を誘った。プレゼンテーションスキルを磨いてほしい。",2,運営
"グループワークの時間が短すぎて、自己紹介だけで終わってしまった。意味のある議論はできなかった。",2,運営
"受講者間のスキルレベルの差が大きく、質疑応答が初歩的なものに終始しがちだった。",2,その他
"もっと具体的な失敗談が聞きたかった。成功事例ばかり話されても、あまり参考にならない。",2,その他
"Gitのコンフリクト解消法について、もう少しパターン別に解説してほしかった。毎回怖々やっているのが現状だ。",2,講義内容
"アジャイル開発のプラクティスとして、ペアプログラミングやモブプログラミングが紹介されたが、そのメリット・デメリットの議論が浅かった。",2,講義内容
"講義資料の情報量は多かったが、どこが重要なのかが分かりにくく、学習のポイントが掴めなかった。",2,講義資料
"質問に対して、講師の回答が少しずれていると感じることがあった。質問の意図を汲み取ってほしい。",2,運営
"講義で紹介されたツールが、高価な商用ツールばかりで、OSSでの代替案にも触れてほしかった。",2,その他
"プロジェクトマネジメントの知識よりも、結局は個人のコミュニケーション能力が重要だという結論になり、少しがっかりした。",2,講義内容
"PMBOKを、アジャイル開発の現場でどのように「つまみ食い」して活用するか、という視点がもう少し欲しかった。",3,講義内容
"Gitの基本的なコマンド（add, commit, push, pull）と、ブランチの概念は理解できた。最初の一歩としては良かった。",3,講義内容
"スクラムの各イベント（スプリントプランニング、デイリースクラム、レビュー、レトロスペクティブ）の目的と流れは一通り理解できた。",3,講義内容
"コラボレーションの重要性は理解できた。チームの心理的安全性を高めるための、明日からできるアクションがいくつか見つかった。",3,講義内容
"講義資料はよくまとまっていた。欲を言えば、各章の最後にまとめのスライドがあると、復習しやすかった。",3,講義資料
"講師の説明は丁寧だったが、時々、受講者の理解度を確認するような問いかけがあると、より集中できたと思う。",3,運営
"グループワークのテーマ設定は良かったが、もう少し議論を深めるための時間配分が欲しかった。",3,運営
"講義の内容には満足しているが、もう少しハンズオンの比率が高いと、より知識が定着したと思う。",3,その他
"この内容なら、もう少し受講料が安いと、同僚にも勧めやすいと感じた。",3,その他
"GitHub Flowというシンプルなブランチ戦略は、小規模なチームですぐにでも実践できそうだと思った。",3,講義内容
"プロダクトマネジメントとプロジェクトマネジメントの違いが、具体例を通じてクリアになった。",3,講義内容
"講義資料に、参考書籍のリストがあったのは良かったが、それぞれの書籍がどんな人におすすめか、というコメントもあると尚良かった。",3,講義資料
"運営はスムーズだったが、講義資料の配布が直前だったので、予習する時間がなかった。",3,運営
"他の受講生との交流時間はあったが、もう少し体系的なネットワーキングの時間が欲しかった。",3,その他
"Gitの歴史的背景から説明してくれたので、なぜこのような設計になっているのかを納得しながら学べた。",4,講義内容
"PMBOKを「プロジェクトマネジメントの共通言語」と捉え、多様なステークホルダーとのコミュニケーションに活かすという考え方は、非常に有益だった。",4,講義内容
"ユーザー・ストーリー・マッピングの演習を通じて、プロダクトの全体像を俯瞰し、リリース計画を立てるプロセスを実践的に学べた。",5,講義内容
"チーム内の意見対立を、健全な議論に導くためのファシリテーションテクニックを学べたのが、大きな収穫だった。",4,講義内容
"講義資料に、Gitの複雑な操作（コンフリクト解消など）が、豊富な図解でステップ・バイ・ステップで解説されており、非常に分かりやすかった。",5,講義資料
"プロジェクトマネジメントの各手法（スクラム、カンバン、XPなど）のメリット・デメリットが、比較表で分かりやすくまとめられていた。",4,講義資料
"オンラインでの質問にも、SlackでTAが迅速に回答してくれ、疑問をすぐに解消できた。",4,運営
"講義の最後に、学んだことを自分のチームでどう活かすか、アクションプランを考える時間が設けられていたのが良かった。",5,運営
"異業種のプロジェクトマネージャーと話すことで、自分の業界の常識を疑う良いきっかけになった。",4,その他
